	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
1575	1575	wk4aiUrdgNQ	0.1976401179941003	0.021897810218978103	1.8274932614555257	523.0	45	1.0	0.0070655298620546205	1.0	0.5717532
1599	1599	O1p2YupBnXc	0.07572540693559802	0.06140350877192983	4.4715189873417724	208.0	32	4.0	0.011840591092777724	1.0	0.90267605
1608	1608	uLMntfBeCmg	0.14935064935064934	0.1153846153846154	0.5789473684210527	148.0	36	4.0	0.012841586763114966	1.0	0.660519
1621	1621	0QD-HVN2McQ	0.52	0.0	1.0714285714285714	162.0	28	1.0	0.02447600572630496	1.0	0.75598556
1645	1645	7GpxDEXc-Ao	0.03900470746469401	0.1076923076923077	2.627208480565371	182.0	14	3.0	0.017913973662896526	1.0	0.6472311
1649	1649	CWkoiUpKvFk	0.008116883116883116	0.4029850746268657	11.990267639902676	329.0	31	2.0	0.012166909966279902	1.0	0.5557658000000001
1654	1654	BtmS4SufhLQ	0.04167982317650774	0.0364963503649635	9.539156626506024	233.0	100	2.0	0.0392359599005416	1.0	0.7272989000000001
1677	1677	NGRBndOkbS4	0.014323106005525662	0.005050505050505051	48.09090909090909	2621.0	14	2.0	0.02825360924120588	1.0	0.67322814
1681	1681	T_0GQ2KuKdY	0.21153846153846154	0.05172413793103448	2.5	149.0	39	1.0	0.06883925706609523	1.0	0.8371044
1729	1729	K0qvupluToA	0.009929475641063472	0.014641288433382138	18.811545933943936	244.0	115	6.0	0.023072888250904845	1.0	0.6022975
1770	1770	BATR1C2kW84	0.11333333333333333	0.0	0.7894736842105263	338.0	15	1.0	0.36420665132845376	1.0	0.76343423
1824	1824	8fYu93NiCHA	0.07632263660017348	0.022222222222222227	5.1244444444444435	217.0	29	1.0	0.04404030945107401	1.0	0.5694344
1835	1835	dRxml8GvriY	0.0037973750184338594	0.11206896551724138	80.24852071005918	1221.0	32	4.0	0.004578519740069485	1.0	0.7842394
1850	1850	2BoiNPNOUU4	0.001972807251399627	0.26	137.90441176470586	91.0	26	1.0	0.10016357420827764	1.0	0.70706517
1858	1858	_wl2KVGHfZw	0.047413793103448267	0.3125	0.5407925407925408	355.0	8	2.0	0.02136577997008001	1.0	0.76814735
1864	1864	YKWajZj2HTc	0.13256484149855907	0.02127659574468085	0.7995391705069125	445.0	39	1.0	0.06332000538047075	1.0	0.8239796
1867	1867	lMb7-haNdI0	0.07621951219512195	0.038461538461538464	1.025	77.0	25	1.0	0.023327185999976567	1.0	0.8866379999999999
1868	1868	70yqithPgcY	0.01265501390139197	0.01172047301980718	1726.8801672085465	53.0	2092	14.0	0.0011076932791527774	1.0	0.5181842000000001
1890	1890	2f5Ha1Ncljo	0.06446280991735537	0.025	5.105485232067512	39.0	71	1.0	0.06834912040993843	1.0	0.87055236
1910	1910	UvbdDE9hiOE	0.02522935779816514	0.01282051282051282	14.129629629629632	822.0	40	1.0	0.0664852707085869	1.0	0.6932923000000001
1939	1939	1HRpTOTXeJE	0.2379553466509988	0.0145985401459854	10.875399361022362	281.0	81	1.0	0.004261736473466403	1.0	0.7700806
1945	1945	V2szpy5240E	0.031746031746031744	0.65	0.8448275862068966	244.0	38	1.0	0.03432882435139049	1.0	0.83595645
1954	1954	lvzNZE2pu5c	0.13620071684587814	0.012987012987012988	4.275862068965517	27.0	14	1.0	0.07078032291253722	1.0	0.64311284
1972	1972	BoGxDfrAqbI	0.15789473684210525	0.1111111111111111	1.3571428571428572	169.0	49	1.0	0.05547460247499628	1.0	0.6624768
1992	1992	L0Z87RJlX80	0.022673031026252986	0.02564102564102564	3.8617511520737327	69.0	20	7.0	0.008191810484056762	1.0	0.7717515
2001	2001	MGzgE-8RQ-0	0.039372599231754166	0.05384615384615385	11.157142857142857	137.0	21	1.0	0.04614988317573701	1.0	0.69049895
2025	2025	X2U5f7w5v8o	0.060121986639558526	0.004807692307692308	12.751851851851852	214.0	113	1.0	0.015371833182198045	1.0	0.71716434
2027	2027	81QnGG6s_7k	0.15037264357737834	0.02223489167616876	35.864779874213845	61.0	394	1.0	0.16692589117632284	1.0	0.7596592
2031	2031	RUPhD-Q_Elk	0.10097887686759402	0.05314009661835749	8.588495575221241	370.0	90	1.0	0.08572116277030603	1.0	0.67124283
2046	2046	F33qbgXNMgo	0.08294930875576037	0.020408163265306117	4.09433962264151	56.0	16	1.0	0.06871754312046997	1.0	0.9197706
2047	2047	XQNx82UGcqM	0.01949391833188532	0.27474747474747474	49.772972972972966	704.0	179	1.0	0.001230208190976415	1.0	0.76999027
